sigma,beta1_deg,delta0_10_deg
0.4,1.625,0.01629
0.4,6.625,0.05537
0.4,11.88,0.08143
0.4,19.13,0.1531
0.4,28,0.2508
0.4,33.88,0.3355
0.4,39.5,0.4072
0.4,44.88,0.4984
0.4,50.88,0.5961
0.4,57.25,0.7134
0.4,63,0.8502
0.4,69.63,1.039
0.6,1.5,0.01629
0.6,6.625,0.05537
0.6,11,0.1075
0.6,17.63,0.1922
0.6,24.88,0.3029
0.6,32.75,0.4528
0.6,40.63,0.6026
0.6,49.88,0.8046
0.6,56.13,0.987
0.6,60.88,1.15
0.6,65.5,1.326
0.6,69.63,1.547
0.8,2,0.01629
0.8,6.25,0.06189
0.8,12.38,0.1401
0.8,19.38,0.2704
0.8,28.5,0.4397
0.8,35.75,0.6156
0.8,42.25,0.798
0.8,49.38,1.026
0.8,55.88,1.267
0.8,60.88,1.528
0.8,65.38,1.749
0.8,67.5,1.899
0.8,69.5,2.036
1,1.25,0.0228
1,6.5,0.07492
1,14.5,0.1922
1,23.87,0.3811
1,32.75,0.6156
1,39.88,0.8371
1,46.25,1.085
1,53.12,1.378
1,58,1.664
1,62.63,1.964
1,66.88,2.283
1,69.75,2.557
1.2,0.5,0.01629
1.2,5.625,0.05537
1.2,14.38,0.1792
1.2,23,0.3941
1.2,29.63,0.5831
1.2,38.25,0.8762
1.2,45,1.176
1.2,51.13,1.489
1.2,55.25,1.749
1.2,59.25,2.036
1.2,62.75,2.342
1.2,66.88,2.72
1.2,69.63,3.026
1.4,1.125,0.0228
1.4,7.625,0.09446
1.4,16.75,0.2638
1.4,24,0.4723
1.4,30,0.6482
1.4,36.13,0.8697
1.4,43,1.176
1.4,47.75,1.43
1.4,51.25,1.658
1.4,54.63,1.893
1.4,57.13,2.107
1.4,60.75,2.427
1.4,64,2.792
1.4,67,3.143
1.4,69.38,3.463
1.6,1,0.009772
1.6,10.88,0.1466
1.6,20.5,0.3681
1.6,28.5,0.6287
1.6,35.88,0.9153
1.6,43.25,1.28
1.6,48.75,1.619
1.6,55.13,2.121
1.6,58.75,2.472
1.6,62,2.831
1.6,65.13,3.189
1.6,67.38,3.489
1.6,69.5,3.853
1.8,1,0.01629
1.8,5.75,0.08795
1.8,12.25,0.2182
1.8,19,0.3811
1.8,25.25,0.5765
1.8,32.25,0.8371
1.8,37.63,1.098
1.8,43.25,1.371
1.8,47.63,1.658
1.8,54.12,2.186
1.8,59.25,2.713
1.8,64,3.41
1.8,69.63,4.231
2,0.625,0.009772
2,11.25,0.2182
2,21.63,0.4788
2,28.63,0.7134
2,34,0.9349
2,41.25,1.313
2,48.25,1.795
2,55,2.388
2,58.63,2.798
2,63.5,3.476
2,66.63,4.003
2,69.38,4.596
