sigma,beta1_deg,n_coeff
0.4,0.4511,-0.05049
0.4,6.316,-0.07213
0.4,15.64,-0.1108
0.4,26.47,-0.16
0.4,38.05,-0.2256
0.4,47.07,-0.28
0.4,56.09,-0.343
0.4,69.92,-0.459
0.6,0.6015,-0.04262
0.6,5.714,-0.05705
0.6,13.08,-0.08131
0.6,21.65,-0.1115
0.6,30.83,-0.1489
0.6,40,-0.1915
0.6,49.77,-0.2459
0.6,56.69,-0.2938
0.6,62.71,-0.3416
0.6,69.92,-0.4125
0.8,0.4511,-0.04066
0.8,5.564,-0.04852
0.8,13.23,-0.06689
0.8,22.71,-0.09508
0.8,31.58,-0.1259
0.8,38.95,-0.1567
0.8,45.71,-0.1849
0.8,53.83,-0.2315
0.8,60,-0.2741
0.8,64.96,-0.3174
0.8,69.77,-0.3698
1,0.4511,-0.03607
1,5.564,-0.04262
1,12.78,-0.05311
1,17.74,-0.06426
1,23.46,-0.07934
1,30.23,-0.09967
1,36.39,-0.1207
1,43.61,-0.1482
1,49.92,-0.1757
1,55.34,-0.2052
1,60.9,-0.2452
1,65.86,-0.2879
1,69.92,-0.3285
1.2,0.1504,-0.03148
1.2,5.865,-0.03541
1.2,13.08,-0.04262
1.2,21.35,-0.05705
1.2,29.32,-0.07475
1.2,37.44,-0.101
1.2,45.86,-0.1318
1.2,54.14,-0.1705
1.2,59.55,-0.2033
1.2,65.26,-0.2492
1.2,69.77,-0.2892
1.4,0.3008,-0.02426
1.4,4.812,-0.02623
1.4,11.73,-0.03082
1.4,20.3,-0.04066
1.4,27.07,-0.05311
1.4,33.98,-0.06951
1.4,40.15,-0.08656
1.4,46.47,-0.1082
1.4,52.03,-0.1331
1.4,58.65,-0.1711
1.4,64.21,-0.2118
1.4,69.92,-0.2623
1.6,0.1504,-0.01836
1.6,5.564,-0.01902
1.6,12.33,-0.02098
1.6,18.05,-0.02623
1.6,26.02,-0.03541
1.6,32.63,-0.04852
1.6,38.35,-0.0623
1.6,44.51,-0.08262
1.6,51.28,-0.1102
1.6,58.35,-0.1475
1.6,62.71,-0.177
1.6,69.92,-0.2348
1.8,0.3008,-0.0118
1.8,4.511,-0.0118
1.8,10.23,-0.01246
1.8,16.54,-0.01508
1.8,22.26,-0.02033
1.8,27.07,-0.02557
1.8,32.03,-0.03344
1.8,36.09,-0.04131
1.8,40.6,-0.05246
1.8,46.32,-0.07016
1.8,52.33,-0.09443
1.8,56.99,-0.1193
1.8,64.66,-0.1698
1.8,69.77,-0.2098
2,0.4511,-0.006557
2,8.571,-0.005902
2,16.54,-0.007213
2,22.26,-0.01049
2,27.97,-0.01574
2,33.68,-0.02361
2,38.8,-0.03475
2,43.31,-0.04525
2,47.07,-0.05639
2,52.18,-0.07738
2,57.44,-0.1023
2,64.06,-0.1423
2,69.77,-0.1869
